nrc,count,classification,name
0x10,35815,DEFINED,GeneralReject
0x13,6337,DEFINED,IncorrectMessageLengthOrInvalidFormat
0x31,2309,DEFINED,RequestOutOfRange
0x70,1623,DEFINED,UploadDownloadNotAccepted
0x12,828,DEFINED,SubFunctionNotSupported
0x22,367,DEFINED,ConditionsNotCorrect
0x37,199,DEFINED,RequiredTimeDelayNotExpired
0x58,132,DEFINED,OwnershipVerificationFailed
0x87,108,DEFINED,TemperatureTooLow
0x8D,94,DEFINED,TransmissionRangeNotInGear
0x21,93,DEFINED,BusyRepeatRequest
0x8F,88,DEFINED,BrakeSwitchNotClosed
0x82,73,DEFINED,RpmTooLow
0x11,66,DEFINED,ServiceNotSupported
0x36,58,DEFINED,ExceedNumberOfAttempts
0x33,56,DEFINED,SecurityAccessDenied
0x90,56,DEFINED,ShifterLeverNotInPark
0x85,49,DEFINED,EngineRunTimeTooLow
0x7F,47,DEFINED,ServiceNotSupportedInActiveSession
0x38,36,DEFINED,SecureDataTransmissionRequired
0x56,35,DEFINED,CertficateVerificationFailedInvalidScope
0x35,34,DEFINED,InvalidKey
0x53,33,DEFINED,CertficateVerificationFailedInvalidType
0x34,32,DEFINED,AuthenticationRequired
0x14,31,DEFINED,ResponseTooLong
0x26,30,DEFINED,FailurePreventsExecutionOfRequestedAction
0x88,30,DEFINED,VehicleSpeedTooHigh
0x7E,29,DEFINED,SubFunctionNotSupportedInActiveSession
0x39,27,DEFINED,SecureDataTransmissionNotAllowed
0x94,27,DEFINED,ResourceTemporarilyNotAvailable
0x5D,26,DEFINED,DeAuthenticationFailed
0x71,22,DEFINED,TransferDataSuspended
0x59,17,DEFINED,ChallengeCalculationFailed
0x8C,17,DEFINED,TransmissionRangeNotInNeutral
0x81,16,DEFINED,RpmTooHigh
0x86,15,DEFINED,TemperatureTooHigh
0x51,15,DEFINED,CertficateVerificationFailedInvalidSignature
0x52,14,DEFINED,CertficateVerificationFailedInvalidChainOfTrust
0x5A,13,DEFINED,SettingAccessRightsFailed
0x84,9,DEFINED,EngineIsNotRunning
0x8A,9,DEFINED,ThrottlePedalTooHigh
0x3A,8,DEFINED,SecureDataVerificationFailed
0x72,8,DEFINED,GeneralProgrammingFailure
0x24,8,DEFINED,RequestSequenceError
0x93,7,DEFINED,VoltageTooLow
0x78,6,DEFINED,RequestCorrectlyReceived_ResponsePending
0x50,5,DEFINED,CertficateVerificationFailedInvalidTimePeriod
0x55,4,DEFINED,CertficateVerificationFailedInvalidContent
0x25,4,DEFINED,NoResponseFromSubnetComponent
0x83,3,DEFINED,EngineIsRunning
0x89,3,DEFINED,VehicleSpeedTooLow
0x5B,3,DEFINED,SessionKeyCreationOrDerivationFailed
0xFF,2,UNKNOWN,
0x57,2,DEFINED,CertficateVerificationFailedInvalidCertificate
0x8B,2,DEFINED,ThrottlePedalTooLow
0x29,1,UNKNOWN,
0x19,1,UNKNOWN,
0x04,1,UNKNOWN,
0x54,1,DEFINED,CertficateVerificationFailedInvalidFormat
0xD0,1,UNKNOWN,
0x91,1,DEFINED,TorqueConverterClutchLocked
0x01,1,UNKNOWN,
0x30,1,UNKNOWN,
